1|36.0,-16.0,14.0|25,2,3,4
2|36.0,-16.0,0.0|1,3,23,24,25
3|36.0,15.0,0.0|1,2,4,21,23
4|36.0,15.0,14.0|1,3,21,25
5|12.0,-34.0,6.0|32,9,11,12,13,14,15,16,28,31
6|12.0,-17.0,6.0|7,9,12,17,18,26,27
7|12.0,-17.0,11.0|6,11,16,17,22,27,30
8|12.0,-17.0,0.0|32,38,40,9,18,29
9|12.0,-17.0,6.0|32,5,6,8,12,18
10|-23.0,-48.0,0.0|35,36,42,13,14
11|12.0,-29.0,11.0|5,7,12,16,22,26
12|12.0,-29.0,6.0|5,6,9,11,26
13|-23.0,-34.0,14.0|5,10,43,42,44,14,16
14|-23.0,-34.0,0.0|34,35,5,37,40,10,13,15
15|12.0,-34.0,0.0|5,38,39,40,14,28
16|12.0,-34.0,14.0|5,7,43,11,13,17
17|12.0,15.0,14.0|6,7,43,16,18,19,20
18|12.0,15.0,0.0|37,6,8,9,40,17,19
19|-30.0,15.0,0.0|17,18,20,37
20|-30.0,15.0,14.0|37,41,43,17,19
21|13.0,15.0,14.0|3,4,23,24,25
22|35.0,-29.0,11.0|26,11,30,7
23|13.0,15.0,0.0|24,2,3,21
24|13.0,-16.0,0.0|25,2,21,23
25|13.0,-16.0,14.0|1,2,4,21,24
26|35.0,-29.0,6.0|6,11,12,22,27,30
27|35.0,-17.0,6.0|26,7,6,30
28|35.0,-34.0,-0.0|32,5,39,15,29,31
29|35.0,-17.0,-0.0|32,38,39,8,28
30|35.0,-17.0,11.0|26,27,22,7
31|35.0,-34.0,6.0|32,28,5
32|35.0,-17.0,6.0|5,8,9,28,29,31
33|-36.0,-1.0,20.0|34,35,36,41,44
34|-36.0,-1.0,0.0|33,35,37,41,14
35|-36.0,-48.0,0.0|33,34,36,10,14
36|-36.0,-48.0,20.0|33,35,10,42,44
37|-30.0,-1.0,0.0|34,40,41,14,18,19,20
38|12.0,-17.0,-0.0|39,40,8,15,29
39|12.0,-34.0,-0.0|28,29,38,15
40|12.0,-17.0,0.0|37,38,8,14,15,18
41|-30.0,-1.0,14.0|33,34,37,43,44,20
42|-23.0,-48.0,20.0|10,36,13,44
43|-23.0,-1.0,14.0|41,44,13,16,17,20
44|-23.0,-1.0,20.0|33,36,41,42,43,13
